"Step","biggestmodeltrain - epoch","biggestmodeltrain - epoch__MIN","biggestmodeltrain - epoch__MAX"
"6","0.0014691478942213516","0.0014691478942213516","0.0014691478942213516"
"8","0.0019588638589618022","0.0019588638589618022","0.0019588638589618022"
"10","0.002448579823702253","0.002448579823702253","0.002448579823702253"
"11","0.0026934378060724778","0.0026934378060724778","0.0026934378060724778"
"18","0.004407443682664055","0.004407443682664055","0.004407443682664055"
"21","0.00514201762977473","0.00514201762977473","0.00514201762977473"
"24","0.005876591576885406","0.005876591576885406","0.005876591576885406"
"30","0.007345739471106758","0.007345739471106758","0.007345739471106758"
"32","0.007835455435847209","0.007835455435847209","0.007835455435847209"
"33","0.008080313418217433","0.008080313418217433","0.008080313418217433"
"38","0.00930460333006856","0.00930460333006856","0.00930460333006856"
"40","0.009794319294809012","0.009794319294809012","0.009794319294809012"
"45","0.011018609206660137","0.011018609206660137","0.011018609206660137"
"47","0.011508325171400588","0.011508325171400588","0.011508325171400588"
"51","0.01248775710088149","0.01248775710088149","0.01248775710088149"
"52","0.012732615083251714","0.012732615083251714","0.012732615083251714"
"54","0.013222331047992164","0.013222331047992164","0.013222331047992164"
"59","0.01444662095984329","0.01444662095984329","0.01444662095984329"
"63","0.015426052889324192","0.015426052889324192","0.015426052889324192"
"66","0.016160626836434867","0.016160626836434867","0.016160626836434867"
"69","0.016895200783545544","0.016895200783545544","0.016895200783545544"
"70","0.017140058765915768","0.017140058765915768","0.017140058765915768"
"71","0.017384916748285992","0.017384916748285992","0.017384916748285992"
"73","0.017874632713026445","0.017874632713026445","0.017874632713026445"
"74","0.01811949069539667","0.01811949069539667","0.01811949069539667"
"75","0.018364348677766894","0.018364348677766894","0.018364348677766894"
"79","0.019343780607247795","0.019343780607247795","0.019343780607247795"
"81","0.019833496571988248","0.019833496571988248","0.019833496571988248"
"83","0.020323212536728696","0.020323212536728696","0.020323212536728696"
"86","0.021057786483839373","0.021057786483839373","0.021057786483839373"
"89","0.02179236043095005","0.02179236043095005","0.02179236043095005"
"90","0.022037218413320275","0.022037218413320275","0.022037218413320275"
"91","0.0222820763956905","0.0222820763956905","0.0222820763956905"
"92","0.022526934378060724","0.022526934378060724","0.022526934378060724"
"99","0.0242409402546523","0.0242409402546523","0.0242409402546523"
"101","0.02473065621939275","0.02473065621939275","0.02473065621939275"
"102","0.02497551420176298","0.02497551420176298","0.02497551420176298"
"103","0.025220372184133203","0.025220372184133203","0.025220372184133203"
"107","0.026199804113614104","0.026199804113614104","0.026199804113614104"
