"Step","biggestsupervised - epoch","biggestsupervised - epoch__MIN","biggestsupervised - epoch__MAX"
"0","0","0","0"
"1","0.0009794319294809011","0.0009794319294809011","0.0009794319294809011"
"2","0.0019588638589618022","0.0019588638589618022","0.0019588638589618022"
"3","0.002938295788442703","0.002938295788442703","0.002938295788442703"
"4","0.0039177277179236044","0.0039177277179236044","0.0039177277179236044"
"5","0.004897159647404506","0.004897159647404506","0.004897159647404506"
"6","0.005876591576885406","0.005876591576885406","0.005876591576885406"
"7","0.0068560235063663075","0.0068560235063663075","0.0068560235063663075"
"8","0.007835455435847209","0.007835455435847209","0.007835455435847209"
"9","0.00881488736532811","0.00881488736532811","0.00881488736532811"
"10","0.009794319294809012","0.009794319294809012","0.009794319294809012"
"11","0.010773751224289911","0.010773751224289911","0.010773751224289911"
"12","0.011753183153770812","0.011753183153770812","0.011753183153770812"
"13","0.012732615083251714","0.012732615083251714","0.012732615083251714"
"14","0.013712047012732615","0.013712047012732615","0.013712047012732615"
"15","0.014691478942213516","0.014691478942213516","0.014691478942213516"
"16","0.015670910871694418","0.015670910871694418","0.015670910871694418"
"17","0.01665034280117532","0.01665034280117532","0.01665034280117532"
"18","0.01762977473065622","0.01762977473065622","0.01762977473065622"
"19","0.01860920666013712","0.01860920666013712","0.01860920666013712"
"20","0.019588638589618023","0.019588638589618023","0.019588638589618023"
"21","0.02056807051909892","0.02056807051909892","0.02056807051909892"
"22","0.021547502448579822","0.021547502448579822","0.021547502448579822"
"23","0.022526934378060724","0.022526934378060724","0.022526934378060724"
"24","0.023506366307541625","0.023506366307541625","0.023506366307541625"
"25","0.024485798237022526","0.024485798237022526","0.024485798237022526"
"26","0.025465230166503428","0.025465230166503428","0.025465230166503428"
"27","0.02644466209598433","0.02644466209598433","0.02644466209598433"
"28","0.02742409402546523","0.02742409402546523","0.02742409402546523"
"29","0.02840352595494613","0.02840352595494613","0.02840352595494613"
"30","0.029382957884427033","0.029382957884427033","0.029382957884427033"
"31","0.030362389813907934","0.030362389813907934","0.030362389813907934"
"32","0.031341821743388835","0.031341821743388835","0.031341821743388835"
"33","0.03232125367286973","0.03232125367286973","0.03232125367286973"
"34","0.03330068560235064","0.03330068560235064","0.03330068560235064"
"35","0.034280117531831536","0.034280117531831536","0.034280117531831536"
"36","0.03525954946131244","0.03525954946131244","0.03525954946131244"
"37","0.03623898139079334","0.03623898139079334","0.03623898139079334"
"38","0.03721841332027424","0.03721841332027424","0.03721841332027424"
"39","0.03819784524975514","0.03819784524975514","0.03819784524975514"
"40","0.039177277179236046","0.039177277179236046","0.039177277179236046"
"41","0.040156709108716944","0.040156709108716944","0.040156709108716944"
"42","0.04113614103819784","0.04113614103819784","0.04113614103819784"
"43","0.04211557296767875","0.04211557296767875","0.04211557296767875"
"44","0.043095004897159644","0.043095004897159644","0.043095004897159644"
"45","0.04407443682664055","0.04407443682664055","0.04407443682664055"
"46","0.04505386875612145","0.04505386875612145","0.04505386875612145"
"47","0.04603330068560235","0.04603330068560235","0.04603330068560235"
"48","0.04701273261508325","0.04701273261508325","0.04701273261508325"
