"Step","mainseed41 - train/sampled_mean_reward","mainseed41 - train/sampled_mean_reward__MIN","mainseed41 - train/sampled_mean_reward__MAX"
"0","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"1","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"2","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"3","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"4","1.037238475885337","1.037238475885337","1.037238475885337"
"5","0.8316998849109017","0.8316998849109017","0.8316998849109017"
"6","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"7","0.0953427744249289","0.0953427744249289","0.0953427744249289"
"8","0.8316998849109017","0.8316998849109017","0.8316998849109017"
"9","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"10","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"11","0.11605346803116116","0.11605346803116116","0.11605346803116116"
"12","0.07983536773617562","0.07983536773617562","0.07983536773617562"
"13","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"14","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"15","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"16","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"17","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"18","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"19","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"20","0.3751999488492897","0.3751999488492897","0.3751999488492897"
"21","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"22","0.28389996163696707","0.28389996163696707","0.28389996163696707"
"23","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"24","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"25","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"26","0.8316998849109017","0.8316998849109017","0.8316998849109017"
"27","0.16454765071268637","0.16454765071268637","0.16454765071268637"
"28","0.0916939728511046","0.0916939728511046","0.0916939728511046"
"29","0.05466936864612271","0.05466936864612271","0.05466936864612271"
"30","1.1055998465478687","1.1055998465478687","1.1055998465478687"
"31","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"32","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"33","0.8316998849109015","0.8316998849109015","0.8316998849109015"
"34","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"35","0.8316998849109017","0.8316998849109017","0.8316998849109017"
"36","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"37","0.08581832914031401","0.08581832914031401","0.08581832914031401"
"38","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"39","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"40","0.08031829735624062","0.08031829735624062","0.08031829735624062"
"41","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"42","0.10740930757071922","0.10740930757071922","0.10740930757071922"
"43","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"44","0.28389996163696724","0.28389996163696724","0.28389996163696724"
"45","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"46","1.1055998465478691","1.1055998465478691","1.1055998465478691"
"47","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"48","0.8316998849109017","0.8316998849109017","0.8316998849109017"
"49","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"50","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"51","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"52","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"53","0.010000000000000005","0.010000000000000005","0.010000000000000005"
"54","0.09000209797098908","0.09000209797098908","0.09000209797098908"
