"Step","supervisedlargea100 - validation/accuracy","supervisedlargea100 - validation/accuracy__MIN","supervisedlargea100 - validation/accuracy__MAX"
"199","0.4542918566762325","0.4542918566762325","0.4542918566762325"
"399","0.48992535697854384","0.48992535697854384","0.48992535697854384"
"599","0.5281741558859925","0.5281741558859925","0.5281741558859925"
"799","0.5476064372148755","0.5476064372148755","0.5476064372148755"
"999","0.5937149653796254","0.5937149653796254","0.5937149653796254"
"1199","0.6047362454961783","0.6047362454961783","0.6047362454961783"
"1399","0.6100980435037441","0.6100980435037441","0.6100980435037441"
"1599","0.6144301142503208","0.6144301142503208","0.6144301142503208"
"1791","0.639232387611582","0.639232387611582","0.639232387611582"
