"Step","supervisedlargea100 - epoch","supervisedlargea100 - epoch__MIN","supervisedlargea100 - epoch__MAX"
"55","0.21484375","0.21484375","0.21484375"
"56","0.21875","0.21875","0.21875"
"57","0.22265625","0.22265625","0.22265625"
"58","0.2265625","0.2265625","0.2265625"
"59","0.23046875","0.23046875","0.23046875"
"60","0.234375","0.234375","0.234375"
"61","0.23828125","0.23828125","0.23828125"
"62","0.2421875","0.2421875","0.2421875"
"63","0.24609375","0.24609375","0.24609375"
"64","0.25","0.25","0.25"
"65","0.25390625","0.25390625","0.25390625"
"66","0.2578125","0.2578125","0.2578125"
"67","0.26171875","0.26171875","0.26171875"
"68","0.265625","0.265625","0.265625"
"69","0.26953125","0.26953125","0.26953125"
"70","0.2734375","0.2734375","0.2734375"
"71","0.27734375","0.27734375","0.27734375"
"72","0.28125","0.28125","0.28125"
"73","0.28515625","0.28515625","0.28515625"
"74","0.2890625","0.2890625","0.2890625"
"75","0.29296875","0.29296875","0.29296875"
"76","0.296875","0.296875","0.296875"
"77","0.30078125","0.30078125","0.30078125"
"78","0.3046875","0.3046875","0.3046875"
"79","0.30859375","0.30859375","0.30859375"
"80","0.3125","0.3125","0.3125"
"81","0.31640625","0.31640625","0.31640625"
"82","0.3203125","0.3203125","0.3203125"
"83","0.32421875","0.32421875","0.32421875"
"84","0.328125","0.328125","0.328125"
"85","0.33203125","0.33203125","0.33203125"
"86","0.3359375","0.3359375","0.3359375"
"87","0.33984375","0.33984375","0.33984375"
"88","0.34375","0.34375","0.34375"
"89","0.34765625","0.34765625","0.34765625"
"90","0.3515625","0.3515625","0.3515625"
"91","0.35546875","0.35546875","0.35546875"
"92","0.359375","0.359375","0.359375"
"93","0.36328125","0.36328125","0.36328125"
"94","0.3671875","0.3671875","0.3671875"
"95","0.37109375","0.37109375","0.37109375"
"96","0.375","0.375","0.375"
"97","0.37890625","0.37890625","0.37890625"
"98","0.3828125","0.3828125","0.3828125"
"99","0.38671875","0.38671875","0.38671875"
"100","0.390625","0.390625","0.390625"
"101","0.39453125","0.39453125","0.39453125"
"102","0.3984375","0.3984375","0.3984375"
"103","0.40234375","0.40234375","0.40234375"
"104","0.40625","0.40625","0.40625"
"105","0.41015625","0.41015625","0.41015625"
"106","0.4140625","0.4140625","0.4140625"
"107","0.41796875","0.41796875","0.41796875"
"108","0.421875","0.421875","0.421875"
"109","0.42578125","0.42578125","0.42578125"
"110","0.4296875","0.4296875","0.4296875"
